date,ticker,side,shares,price,cash_after
2023-02-02,ICICIBANK,TRIM,1.3246623763143925,837.1736450195312,35306.2042437152
2023-02-02,INDUSINDBK,TRIM,0.9361660448044128,1052.5399169921875,36289.58567054236
2023-02-02,BAJAJ-AUTO,BUY,10.1781014471554,3558.340576171875,0.0
2023-02-02,BHARTIARTL,TRIM,2.000606840467149,763.5203247070312,1524.4489764756963
2023-05-03,SUNPHARMA,SELL,38.97085190004983,936.8521118164062,37961.35402851809
2023-05-03,M&M,SELL,28.748789355831956,1204.0765380859375,72507.86530472661
2023-05-03,HEROMOTOCO,SELL,16.104490707717783,2266.137939453125,108929.87269827953
2023-05-03,AXISBANK,SELL,43.74796226649128,857.578125,146372.13356044173
2023-05-03,TCS,SELL,11.883043918525406,2924.45849609375,181054.09936993453
2023-05-03,WIPRO,SELL,197.47632168896178,180.11236572265625,216550.8909885945
2023-05-03,NTPC,SELL,252.63643982418233,162.62196350097656,257552.95641690714
2023-05-03,EICHERMOT,SELL,12.194244026861174,3233.575439453125,296905.1023888875
2023-05-03,HCLTECH,SELL,36.97037098017183,960.2578735351562,332335.1900304707
2023-05-03,BHARTIARTL,SELL,49.628719764987245,765.0419311523438,370227.3055368758
2023-05-03,HDFCBANK,TRIM,1.240000615571891,814.6891479492188,371235.50015174266
2023-05-03,BAJAJ-AUTO,TRIM,0.8361515617602739,4175.208984375,374719.6254496774
2023-05-03,ITC,TRIM,12.074395627538081,368.36053466796875,379158.4608171716
2023-05-03,LT,TRIM,1.1451150738903129,2290.260498046875,381775.8274129817
2023-05-03,ONGC,TRIM,33.25174292642838,138.53260803222656,386373.06518085854
2023-05-03,ICICIBANK,TRIM,1.9507025013714903,900.554443359375,388126.26555853034
2023-05-03,KOTAKBANK,BUY,101.10685177736791,385.0059509277344,349121.6724654476
2023-05-03,BPCL,TRIM,13.611257341177899,151.93759155273438,351185.59800055384
2023-05-03,BRITANNIA,BUY,0.2094577403346457,4411.1240234375,350259.8060421282
2023-05-03,DRREDDY,TRIM,4.053969371254961,970.822021484375,354187.61741668556
2023-05-03,NESTLEIND,BUY,36.63269322089003,1062.6229248046875,315183.02432360285
2023-05-03,POWERGRID,BUY,244.4942663405727,159.2133026123047,276178.43123052013
2023-05-03,COALINDIA,TRIM,16.791469385786858,193.49383544921875,279420.9789531756
2023-05-03,ULTRACEMCO,TRIM,0.08179077354193884,7382.19580078125,280023.56686714955
2023-05-03,INDUSINDBK,TRIM,1.2147937091792758,1121.2646484375,281382.94789791404
2023-05-03,SBIN,BUY,72.14520968137826,539.5609741210938,242378.35480483132
2023-05-03,TATACONSUM,BUY,51.081064992951916,762.05810546875,203373.76171174858
2023-05-03,BAJAJFINSV,BUY,28.946408699167485,1344.7864990234375,164369.16861866583
2023-05-03,BAJFINANCE,BUY,63.96314646016494,608.5807495117188,125364.5755255831
2023-05-03,HDFCLIFE,BUY,72.94640017684866,533.6348266601562,86359.98243250037
2023-05-03,HINDALCO,BUY,7.0516281042643705,433.7451171875,83295.25595553666
2023-05-03,JSWSTEEL,BUY,1.2792245014819312,721.7650756835938,82370.10978726999
2023-05-03,TATASTEEL,BUY,43.340640699528784,101.76152801513672,77950.87914488543
2023-05-03,ADANIPORTS,BUY,59.057784273955654,659.1296997070312,38946.286051802694
2023-05-03,GRASIM,BUY,22.77293978844702,1706.78662109375,0.0
2023-08-02,HDFCBANK,SELL,47.8766572394726,798.407958984375,38148.653981182695
2023-08-02,BRITANNIA,SELL,8.84190628005696,4686.24072265625,79501.08465414464
2023-08-02,POWERGRID,SELL,244.4942663405727,165.09164428710938,119784.31718218236
2023-08-02,TATASTEEL,SELL,383.20741673254696,113.94352722167969,163360.99389275684
2023-08-02,COALINDIA,SELL,201.58054649404707,191.5744171142578,201901.4342375351
2023-08-02,HINDALCO,SELL,89.91104298174155,445.70916748046875,241895.4619999984
2023-08-02,KOTAKBANK,SELL,101.10685177736791,363.6216735839844,278586.5753687846
2023-08-02,NESTLEIND,SELL,36.63269322089003,1111.51904296875,319223.07560681563
2023-08-02,TATACONSUM,SELL,51.081064992951916,831.1177368164062,361592.54597966734
2023-08-02,BPCL,SELL,256.7145674383357,155.432861328125,401414.62198169663
2023-08-02,GRASIM,SELL,22.77293978844702,1790.45947265625,442107.0996946231
2023-08-02,ULTRACEMCO,SELL,5.283603164380294,8186.947265625,485277.1670129354
2023-08-02,BAJAJFINSV,TRIM,1.1990287181331662,1525.2940673828125,487102.38066054473
2023-08-02,ADANIENT,BUY,17.0911841016072,2471.358154296875,444779.4665900565
2023-08-02,ADANIPORTS,TRIM,2.965733645980226,754.5260620117188,447012.71447227587
2023-08-02,BAJAJ-AUTO,TRIM,0.2882818495616399,4674.67041015625,448357.6418589429
2023-08-02,BAJFINANCE,TRIM,4.550162155954669,712.3512573242188,451592.47296430066
2023-08-02,DRREDDY,TRIM,2.332221201888014,1118.332763671875,454195.4559477378
2023-08-02,HDFCLIFE,TRIM,6.703531518209736,638.9052124023438,458469.8113337684
2023-08-02,INDUSINDBK,TRIM,3.805055811515921,1366.083984375,463657.4410859258
2023-08-02,NTPC,BUY,209.0555834336973,202.04405212402344,421334.52701543755
2023-08-02,SBIN,BUY,1.2030977586590739,576.993896484375,420638.95859169
2023-08-02,HEROMOTOCO,BUY,15.4095661510963,2741.052978515625,378316.04452120175
2023-08-02,ITC,TRIM,1.563152316089805,405.68780517578125,378948.92804980715
2023-08-02,LT,TRIM,0.6115026223853207,2577.658203125,380522.02031112945
2023-08-02,ONGC,TRIM,1.744452129911104,151.25543212890625,380785.3504561459
2023-08-02,ASIANPAINT,BUY,12.863013571452962,3283.71240234375,338462.43638565764
2023-08-02,CIPLA,BUY,36.84978578248838,1146.23291015625,296139.5223151694
2023-08-02,SUNPHARMA,BUY,38.133684899949145,1107.64111328125,253816.60824468115
2023-08-02,TITAN,BUY,14.276801706793849,2958.536376953125,211493.6941741929
2023-08-02,JSWSTEEL,TRIM,0.8588819042650159,795.8557739257812,212175.87320457734
2023-08-02,RELIANCE,BUY,34.34864010104935,1229.697509765625,169852.95913408906
2023-08-02,SBILIFE,BUY,33.63341173710707,1255.8475341796875,127530.0450636008
2023-08-02,TECHM,BUY,39.40541311214779,1071.894287109375,85207.13099311254
2023-08-02,APOLLOHOSP,BUY,8.5236183956321,4955.45849609375,42884.216922624284
2023-08-02,BHARTIARTL,BUY,48.99855737754958,862.0343017578125,561.302852136032
